datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,buyer,seller,transaction_id
2022-01-06 23:44:15+00:00,5986,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8926.png,2500.0,3702,3808,3856,Team Flow (M),Player,1641512655,15 minutes ago,0x7048edde593b978e,0x59745d81b2e3895c,1c8806b57a637a62622cb34d02e954298e42bc870d43b7dc2436f87f20262521
2022-01-06 23:30:22+00:00,7491,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8149.png,2799.0,2724,4458,1960,Nashville Miracle,Player,1641511822,28 minutes ago,0x31c5618869b3610e,0x6abb4639bd958418,f21847bc1e477d08786d575f0a251256d0f5727dfe5cf2bb1cbe25c65f6d15ed
2022-01-06 22:33:51+00:00,5660,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8995.png,1700.0,4348,5327,3111,Tampa Bay Omens,Player,1641508431,an hour ago,0xd482cb8e675d56d2,0xf1a5b6fbf24186a7,1e4a008a26a0eb3817732654e1ebf280a98e26629f5a848c4390c2d216912e76
2022-01-06 22:29:19+00:00,8578,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5849.png,6000.0,1061,207,8024,Orlando Freeze,Player,1641508159,an hour ago,0xed52b491479f5d64,0xff2b1cc1038a8f8f,9ed8de52fb9e9c429bb845980c29a418baefa7623ac0322330ce656531cc839e
2022-01-06 21:55:57+00:00,1283,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1511.png,1615.0,6342,5709,5494,Portland Bats,Player,1641506157,2 hours ago,0x75e8e1db44c0ff26,0x833f5a84481b77a6,48e6d2da39a31735a6f1c1f0653c0e5c5ff7149021f08d9ce2a89f335a2a67f1
2022-01-06 21:22:26+00:00,3099,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6891.png,1450.0,9108,9529,6264,Cleveland Firebirds,Player,1641504146,8 minutes ago,0x6865d489d0c1fa79,0x911b88c22a7f840f,5142877651aabda8d98b5a68026eaa7a9da3d9d0c06879bd98cc5820baba9a4d
2022-01-06 21:06:17+00:00,5206,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9289.png,1799.0,2747,2142,4371,D.C. Dobermans,Player,1641503177,24 minutes ago,0x683bfd2fee230a2e,0x039af904f48a94f7,0d0abce76120749fbeee3e8b7dfb3e41657813df68952a758af5e52357b0aa8c
2022-01-06 21:04:10+00:00,2642,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3042.png,1400.0,8637,9498,5162,Minneapolis Express,Player,1641503050,26 minutes ago,0x2d1d851a2d057c58,0x9b0079c2c8f0ccc9,66578d2e9b12f57689cbb5aac81be57c7fad95a262e8ca1fc83c7761a15c74ba
2022-01-06 20:39:36+00:00,4210,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3960.png,1699.0,7534,4072,8682,Dallas Pythons,Player,1641501576,51 minutes ago,0x339ff90160b4ebb6,0xbeacd31201c92e0e,93151bbf265603f78f18fee5a597c094c85b27b38a5fd7d90c32704d1ea76e4d
2022-01-06 20:37:00+00:00,2258,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2372.png,1499.0,9097,8801,7421,Miami Tentacles,Player,1641501420,54 minutes ago,0x5b77ae98859ab299,0xd920fe73163b1b93,793539ea8951aa5e1c94fcb9c45e19da7cb8e3eeee2a5b228ca91239576fc159
2022-01-06 19:12:54+00:00,2980,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4345.png,1600.0,8609,7272,7898,Salt Lake City Souls,Player,1641496374,2 hours ago,0x2f06ab49afeacff5,0x1ed0961e83cd82e6,c16a20f90d742e0abef595e4c2f1e8c3e1142f98cd6a42dfec53e79cfaee839b
2022-01-06 19:11:05+00:00,4264,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6368.png,1499.0,7324,5826,6779,Austin Machines,Player,1641496265,2 hours ago,0x5348d42d2f180629,0x1a2c606b8f8b2b0c,47dacee78fed1543ae924071c731591ef373b664bdef4943fd480e0d8474f067
2022-01-06 17:46:37+00:00,7364,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4161.png,1879.0,5939,4717,5897,Pennsylvania Fangs,Player,1641491197,3 hours ago,0x0319422193d603ec,0x2693693757785d49,1978db31d737bd31aa6523cb62a7a4d085cf6b069738d4f89ec8e3f94b439042
2022-01-06 17:06:05+00:00,1534,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2365.png,2200.0,3699,3510,4291,Austin Machines,Player,1641488765,4 hours ago,0x586bf681c9c5fe14,0xee5ca72a91f46b5d,92ad40fd351314c316eaab36e197ff7cd7a249af448d39858006c7b5def41096
2022-01-06 15:40:36+00:00,1639,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1362.png,1400.0,7750,9706,3089,San Francisco Surge,Player,1641483636,5 hours ago,0x46903486852f22fb,0x4ecf6aaa3a6bfe3a,eb389cb3c54cc60958f8de39ff18cbb97c2171879d05ea0beff0afb93a40b569
2022-01-06 14:49:12+00:00,4406,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6537.png,1630.0,7331,2886,9331,Austin Machines,Player,1641480552,6 hours ago,0x93b29ca44fbb52d8,0xfd130bf5c3cd41e5,625cad749a8ace8c2b69b3b3d9d3d927412a36c82f099dcf4d5e8ae6a026d2dd
