datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,seller,transaction_id
2021-12-30 06:47:53+00:00,1024,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1024.png,2223.0,1324,2908,1249,Los Angeles Knives,Player,1640846873,41 minutes ago,0xaf1ef3a3d4000642,d827c73f76c02a266c509afdc2403e55a02d3b18013bbe38a3b5d959774ef77f
2021-12-30 06:47:21+00:00,9656,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6799.png,2400.0,3683,6966,1593,Sierra Spiders,Player,1640846841,41 minutes ago,0x32aec9b24d2dffb1,676f2966857cc092f428df301d759ee0eaa41fa9f9a1340160222c39b8da9801
2021-12-30 06:45:19+00:00,4692,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4857.png,4200.0,3730,3788,3935,New Jersey Scientists,Player,1640846719,43 minutes ago,0xf5b698b0a937eb73,7bc3498383dc0092b03b9bf4089b24c9d5a282e2dc3c236ec346ff58a92887f0
2021-12-30 06:40:22+00:00,9424,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3599.png,2500.0,6752,6071,5779,New York Golden Bulls,Player,1640846422,48 minutes ago,0x7a1f6318eaca8dc1,658eac0741b7aa6b4e7292715dc7fcbc10cb4a67dbf36c6c82b3c45d840feef5
2021-12-30 06:36:52+00:00,6622,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5618.png,2650.0,2873,2040,4802,New York Golden Bulls,Player,1640846212,52 minutes ago,0x67e384d644e96636,7a434d45bd7e9a55af692213a79fd7f70f52a20e0d15b068e2368e9ccc5df320
2021-12-30 06:35:07+00:00,8289,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7494.png,2469.0,8520,3997,9530,San Francisco Surge,Player,1640846107,54 minutes ago,0xcaadfdca380011e1,4c897ffa7d66316e7cd5c682d6edab0b87ef7d2b0660049fcc32c4f8c913914f
2021-12-30 06:29:01+00:00,6381,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8649.png,4399.0,3959,1158,8415,Pennsylvania Fangs,Player,1640845741,an hour ago,0x5c97eee368c07a86,cf2281018e97cead44c5eea243ef9e561814cb8c3eafbf944b863e6023112163
2021-12-30 06:26:35+00:00,8845,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5685.png,2800.0,8148,3556,9499,Charlotte Clovers,Player,1640845595,an hour ago,0x03f7147e60a240e0,dd39642485d73565fabe176a58b066e59d87bfdbdf48e7253f8fbe2e2bd94231
2021-12-30 06:26:19+00:00,8054,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7677.png,3555.0,1886,815,5701,Omaha Bullsnakes,Player,1640845579,an hour ago,0xb1110ca8ac5e32fa,ccbe10ac941a291c297f06497a12f2f981c2b3cc9438c816df41e8c55df4a837
2021-12-30 06:25:33+00:00,1259,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1447.png,10000.0,2325,8697,363,St. Louis Orcs,Player,1640845533,an hour ago,0x03f7147e60a240e0,e0807891bc8c44c389a14ca6f24b4f0627a0f57b3837a19fce3b1b1d7950a985
2021-12-30 06:24:18+00:00,7185,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2966.png,1875.0,6360,7912,3866,Boston Rulers,Player,1640845458,an hour ago,0x2f5076723c1b1a0d,97b4044ed7b206243ff545be34223e8ccc23660c3daa92c29de221a24063eb60
2021-12-30 06:22:05+00:00,481,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/481.png,1599.0,7254,6847,5952,San Diego Keepers,Player,1640845325,an hour ago,0xd4d19490bd4f4c4d,fa807205b5599d850ab4d0a2436ad293538888d3bd0a8d36675590a7e2b635cf
2021-12-30 06:21:23+00:00,4038,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8049.png,4339.0,6587,7012,4863,San Francisco Surge,Player,1640845283,an hour ago,0x0cfbc976a7744a95,92e74fe4c1a99b95d824a7f4577539d1c7a2ae0cf6e115b9a65b206f9b28ea8e
2021-12-30 06:19:47+00:00,1052,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1211.png,1875.0,6912,7472,4966,Delaware Horsemen,Player,1640845187,an hour ago,0x2f5076723c1b1a0d,b49b68a89031b07d388a90d009583c32a3fa64d09858837f03065e12399a649f
2021-12-30 06:19:01+00:00,4186,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7731.png,2000.0,6579,5745,5809,Sierra Spiders,Player,1640845141,an hour ago,0x2f5076723c1b1a0d,95154c25334e1d88799c566fdfa768a4e3d3b20016994e7901f2539126749bab
2021-12-30 06:17:54+00:00,2635,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8072.png,2100.0,9704,3934,9824,San Jose Sirens,Player,1640845074,an hour ago,0xfcd0f09978e4756f,b233dfc4f945c2ec12c908e1523126869a8c4d7bd812e5464f924c3e7282c5ad
2021-12-30 06:17:36+00:00,3124,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2939.png,2550.0,6159,8573,2930,Austin Machines,Player,1640845056,an hour ago,0xa661efe7e77541ac,4257abae9abac288e27ab5ad6d950414bb151d071969dcdbe503210b3bd0a021
2021-12-30 06:16:56+00:00,3782,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7324.png,2300.0,7953,7698,6502,Michigan Colliders,Player,1640845016,an hour ago,0xa661efe7e77541ac,5b8675ceee5d98fc0b98f3124c10104310e86b07a0daee37c176b599fa9fa040
